job_title,company,location,description,skills,job_url,source_url
"Software Engineer, Reliability",OpenAI,,"Join the engineering teams that bring OpenAI’s ideas safely to the world!! The Applied Engineering team works across research, engineering, product, and design to bring OpenAI’s technology to consumers and businesses. We seek to learn from deployment and distribute the benefits of AI, while ensuring that this powerful tool is used responsibly and safely. Safety is more important to us than unfettered growth. About the Role As OpenAI continues to grow, we are looking for experienced, problem-solv",Ai,https://jobs.ashbyhq.com/openai/1faee5e7-3b2f-4d8c-9a6f-ff0f2a4a42a7,https://jobs.ashbyhq.com/openai
"Account Executive, AI Sales",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-ai-sales/7532733,https://stripe.com/jobs/search
AI Success Engineer Singapore,OpenAI,,"About the Team OpenAI’s AI Success Engineer team partners with the world’s most ambitious organizations to translate cutting edge AI into real business value. We guide customers from first deployment through scaled enterprise adoption. Our work spans technical integration and enablement, workflow transformation, and sustained program and product delivery. Our customers range from fast growing digital natives to the largest global enterprises, government agencies and educational institutions. Eve","Ai, Git, Go",https://jobs.ashbyhq.com/openai/26b7994e-6d80-45c1-b8c6-a675f2161fd9,https://jobs.ashbyhq.com/openai
AV Builds and Operations,Stripe,,Help increase the GDP of the internet as part of our Infrastructure & Corporate Tech team.,,https://stripe.com/jobs/listing/av-builds-and-operations/7555995,https://stripe.com/jobs/search
Corporate Finance Manager,OpenAI,,"About the Team The Strategic Finance team provides financial insights and guidance to support the organization's long-term goals and strategies. We partner with stakeholders across the business to deploy our resources to the highest impact outcomes. About the Role We are hiring a Corporate Finance Manager to provide analytical support for OpenAI across a variety of initiatives including annual planning, forecasting, budgeting, and analytical decision-making support. This role is based in San Fra","Ai, Go",https://jobs.ashbyhq.com/openai/3a368969-a1c9-49a1-aec5-98c9b12b0637,https://jobs.ashbyhq.com/openai
"Software Engineer, Monetization AI/ML",OpenAI,,"ABOUT THE TEAM The Monetization team is a new cross-functional group working across engineering, product, research, and design to build the foundational systems that will help OpenAI scale access to intelligence responsibly. Our mission is to develop user-first, privacy-preserving monetization products—including next-generation ads experiences—that strengthen user trust, unlock economic opportunity, and support OpenAI’s long-term innovation. Monetization plays a critical role in enabling OpenAI ",Ai,https://jobs.ashbyhq.com/openai/a7b192bf-3d2e-4acb-9c97-fad3de0609db,https://jobs.ashbyhq.com/openai
"Account Executive (Hunter) , UK Enterprise Retail",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-hunter-uk-enterprise-retail/7451366,https://stripe.com/jobs/search
"Data Scientist, Business",OpenAI,,"About the Team The Business Data Science team uses data and analytics to optimize business performance, drive growth, and foster meaningful partnerships, with the goal of ensuring the sustained and impactful expansion of OpenAI's initiatives to maximize the benefits of AGI for all of humanity. We partner with Sales (GTM), Marketing, Partnerships, Support, Finance, Product, and Growth. About the Role As a member of our Business Data Science team, you will help build a data-driven culture around i","Ai, Go",https://jobs.ashbyhq.com/openai/fc72784d-f925-4f8d-aebc-eee72e7bf55c,https://jobs.ashbyhq.com/openai
"Account Director, Education",OpenAI,,"About the team OpenAI’s mission is to build safe artificial general intelligence (AGI) which benefits all of humanity. This long-term undertaking brings the world’s best scientists, engineers, and business professionals into one lab together to accomplish this. In pursuit of this mission, our Go To Market (GTM) team is responsible for helping customers learn how to leverage and deploy our highly capable AI products across their business. The team is made of Sales, Solutions, Support, Marketing, ","Ai, Go",https://jobs.ashbyhq.com/openai/9b64afcc-c0e0-4b2f-acce-4212b02da23a,https://jobs.ashbyhq.com/openai
Expand economic access across the globe,Stripe,New York,"We operate at significant scale, but we’re tiny relative to the opportunity ahead. Want to join us? See what career opportunities are available across our global teams.",Ai,https://stripe.com/jobs/search?tags=Privy,https://stripe.com/jobs/search
"Account Executive, SMB Existing Business",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-smb-existing-business/7140002,https://stripe.com/jobs/search
"iOS Engineer, ChatGPT Mobile Infrastructure",OpenAI,,"ABOUT THE TEAM We’re building up the core Swift platform, from architecture to CI, that enables hundreds of engineers (and their agents) to develop new capabilities in ChatGPT, Atlas, Sora, and other rapidly evolving apps. Our focus is helping teams move quickly while improving on performance or reliability. ABOUT THE ROLE We’re hiring Staff+ engineers with a variety of iOS platform backgrounds, including people who may specialize in performance, build/CI, or AI developer productivity. Whether y","Ai, Api",https://jobs.ashbyhq.com/openai/d66ae477-8742-4c4c-85a2-6f92a7dc67f2,https://jobs.ashbyhq.com/openai
"Analytics Engineer, Finance",OpenAI,,"About the Team The Finance Data team is embedded within the CFO Org and is responsible for building internal data products that scale analytics across business teams and drive efficiencies in our daily operations. This team provides technical guidance on high-impact, scalable projects across Finance, and is the subject-matter expert in financial and transactional data that supports our Finance day-to-day operations. About the Role As an Analytics Engineer, you will be setting the foundation to s","Ai, Scala",https://jobs.ashbyhq.com/openai/7cd50a19-65f2-4a52-89a2-512130e58c5c,https://jobs.ashbyhq.com/openai
"Seeking: impatient, curious optimists",Stripe,,"Stripe is for the versatile, the supportive, the impatient, and most of all, the obsessively user focused. Learn more about life at Stripe—our culture, our people, and our principles.",,https://stripe.com/jobs/life-at-stripe,https://stripe.com/jobs/search
Head of Strategic Execution,OpenAI,,"ABOUT THE TEAM OpenAI’s enterprise customers are making significant investments in AI, and adoption is accelerating. But meaningful AI transformation is not just a technology rollout, it reshapes how organizations operate, make decisions, and create value. The AI Strategy & Adoption team partners with OpenAI’s most strategic enterprise customers to guide them through that transformation. We work directly with executive leaders to translate frontier AI capabilities into new operating models, work",Ai,https://jobs.ashbyhq.com/openai/93982c87-6d46-4ed6-9724-f7738557efe5,https://jobs.ashbyhq.com/openai
"Backend Engineer, Payments and Risk",Stripe,,Help increase the GDP of the internet as part of our Payments team.,,https://stripe.com/jobs/listing/backend-engineer-payments-and-risk/7232592,https://stripe.com/jobs/search
"AI Deployment Engineer, Gov",OpenAI,,"About the team The AI Deployment Engineering team is responsible for ensuring the safe and effective deployment of Generative AI applications. We act as a trusted advisor and thought partner for our customers, working to build an effective backlog of GenAI use cases for their industry and drive them to production through strong technical guidance. As the founding AI Deployment Engineer in the Public Sector segment, you’ll help government agencies transform their organization through solutions su","Ai, Go",https://jobs.ashbyhq.com/openai/be7b1bf5-37ab-40f7-9ec1-e9732244f12a,https://jobs.ashbyhq.com/openai
"Backend Engineer/API, Payments and Risk",Stripe,,Help increase the GDP of the internet as part of our Payments team.,,https://stripe.com/jobs/listing/backend-engineer-api-payments-and-risk/4921361,https://stripe.com/jobs/search
RTL & Co-design Engineer (junior),OpenAI,,"ABOUT THE TEAM OpenAI’s Hardware organization develops silicon and system-level solutions designed for the unique demands of advanced AI workloads. The team is responsible for building the next generation of AI-native silicon while working closely with software and research partners to co-design hardware tightly integrated with AI models. In addition to delivering production-grade silicon for OpenAI’s supercomputing infrastructure, the team also creates custom design tools and methodologies that",Ai,https://jobs.ashbyhq.com/openai/77b815de-b7c5-4b87-8582-e8c752aea849,https://jobs.ashbyhq.com/openai
"Account Executive, Platforms (Grower)",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-platforms-grower/7577015,https://stripe.com/jobs/search
